c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.448972422054817e-12,5.822766846029315e-12,5.312607414180425e-07,5.86457032704587e-07,1.1533276566556518e-06,1.3521089454440018e-06,1.0588223958899061e-06,1.231188948905489e-06,5.344723263540498e-07,6.09584158226419e-07,5.385808396741305e-06,1.807339656919294e-06,3.986390591850334e-05,1.7477678749398946e-05,2.5647753305215238e-06,7.86718535822345e-06,5.5165063496681686e-05,7.728942724998813e-05
4.284474631820818e-12,7.64618244584888e-12,7.384517846345194e-07,8.947682646189183e-07,1.456222584569918e-06,2.128537073278295e-06,1.1314939618416783e-06,9.024218375316582e-07,1.3345436317511919e-06,6.704403597493996e-07,9.617506079771424e-06,1.420028564970802e-06,6.077638480394952e-05,3.769837188169545e-05,5.469749918173875e-06,9.059564990803697e-06,6.16094496979317e-05,8.417120664183996e-05
3.83465442352374e-12,3.803583744456342e-12,9.006844083589955e-07,5.201860933100275e-07,1.2905388597488697e-06,1.575750045293727e-06,6.431178716842933e-07,7.613889521422889e-07,1.0232027233893648e-06,6.809730264153512e-07,6.861275567192215e-06,1.3269929992535213e-06,4.7811257701794325e-05,3.5327143186196646e-05,5.414626415860313e-06,5.620439498295901e-06,4.4295038312304286e-05,0.00014095043242933226
2.2837823650472606e-12,4.4593865961829594e-12,8.93650468723449e-07,5.160273110204389e-07,7.507565506982379e-07,1.7729493642472016e-06,8.188683318273583e-07,6.025339971474753e-07,1.2776676607886485e-06,1.1340277340782117e-06,7.205631168069778e-06,1.3919776983239295e-06,6.023672244914929e-05,4.0542971904361474e-05,3.2420673923310757e-06,5.3506282601099725e-06,6.709751320866691e-05,0.00013554892763041902
4.382518976652448e-12,5.481658766277423e-12,9.497090759676569e-07,5.132255949337334e-07,1.6209197897128527e-06,1.216944844716571e-06,6.359520106128562e-07,1.0317751252457532e-06,8.646429315217899e-07,1.2264499896649397e-06,4.373086755777928e-06,2.3486877652493873e-06,6.507128744436992e-05,3.724617113760121e-05,4.441619823425836e-06,5.9227177723720835e-06,4.6857985838959175e-05,0.00011299544838954152
5.780416013215076e-12,2.941504384631027e-12,6.541801798323796e-07,7.934136928860947e-07,1.0873210156079073e-06,1.125925330003934e-06,9.64847912432074e-07,1.4433372431411825e-06,8.721941050580826e-07,5.650940404736655e-07,9.059546355885622e-06,1.1524879170387046e-06,5.6058693206912056e-05,2.1608198605810655e-05,2.6438023037835825e-06,6.427020204857846e-06,5.8852177762339555e-05,6.71093816366356e-05
3.449416668426735e-12,2.785244821157548e-12,4.2094264906022254e-07,1.105070193681158e-06,1.1069461056313671e-06,1.8739001605341944e-06,9.20973849670979e-07,8.49289924283236e-07,1.3103035655352438e-06,1.2570073608471806e-06,6.994192599219109e-06,1.2537158238945482e-06,6.135090878668393e-05,3.51974848925183e-05,2.661859071599878e-06,7.610297318284046e-06,7.129257288826491e-05,5.6047415967171624e-05
2.4393125546495898e-12,2.8456476703793933e-12,6.724434746326771e-07,5.947596780837872e-07,1.5633003045953972e-06,9.534210013669292e-07,1.1071178078586566e-06,6.124274413144974e-07,1.0310655516502291e-06,6.24814680745811e-07,9.338533221414893e-06,1.8017976041335738e-06,5.6552386146651475e-05,1.929582803249683e-05,2.0673296498238018e-06,1.0181980618494053e-05,6.263222784337139e-05,6.926713798524061e-05
2.6797175419322454e-12,4.751575786171133e-12,6.044156218518946e-07,5.278957328148714e-07,8.069109818814278e-07,1.6191743216738128e-06,8.757856267653667e-07,7.851176111486183e-07,8.678167661375511e-07,6.514652807096461e-07,3.84556598833098e-06,9.570508471883378e-07,8.955181663331918e-05,1.9943713298132113e-05,2.46611510652914e-06,6.8783829815122365e-06,3.425085845929098e-05,0.00010656072588728805
2.505575905159097e-12,3.822941559501863e-12,4.4190489906301855e-07,5.878015872249776e-07,1.2419890449632084e-06,9.910584895940782e-07,1.3552522012035303e-06,5.501184585760229e-07,7.997851816763235e-07,8.988992996422056e-07,4.82564421459596e-06,1.772858691614876e-06,7.700108608014982e-05,3.1737931025444115e-05,3.3361207173870337e-06,6.125235356814186e-06,2.7620837130410585e-05,0.00014175103560239646
5.3732106723567664e-12,5.129080058496538e-12,8.605733426868661e-07,9.955518677460357e-07,7.622674077067555e-07,1.4008125860953252e-06,7.496679798677176e-07,6.540893427311817e-07,6.909719992491853e-07,1.0803202052679353e-06,8.20379406423605e-06,1.1538766418589394e-06,4.287555404975843e-05,1.6552804316769136e-05,3.631678139529485e-06,6.324091370171326e-06,6.69929235067627e-05,8.27599599746521e-05
4.179253242801698e-12,7.577904091568112e-12,1.0533710644557099e-06,6.546665718741748e-07,1.1561040328336867e-06,9.67679119208613e-07,1.4871610965968258e-06,1.2565255175246775e-06,5.167793640507847e-07,6.65212167128415e-07,4.5931307979324705e-06,1.3107658192910344e-06,4.7434403323871615e-05,2.147657640909904e-05,2.2879079167737727e-06,1.1483924895419177e-05,3.049878829045371e-05,8.642375042699811e-05
4.638833283787826e-12,4.6848014638669645e-12,7.462712267546969e-07,6.45454226381427e-07,9.413121617996783e-07,9.829218936486517e-07,7.295157866000139e-07,5.912363902836503e-07,1.0572842949460939e-06,5.462354242392188e-07,8.666555331561538e-06,1.6554709750766844e-06,0.0001000760191222885,3.593408166850284e-05,5.552695189026575e-06,7.255358572932181e-06,2.9154177485813826e-05,6.202121158187624e-05
2.581993496049467e-12,4.517179846570427e-12,9.669007379894535e-07,4.555302777345631e-07,1.6039706358210059e-06,1.0023925643466794e-06,6.314787572474249e-07,1.4888309803674077e-06,9.073955593168435e-07,6.111080356754606e-07,1.0294784433852974e-05,1.625347631041383e-06,8.077226729711855e-05,2.6588372129548788e-05,4.166403012957514e-06,8.268390925366905e-06,6.717183436469018e-05,0.00010744880655216988
2.5161281017280686e-12,6.257947911536791e-12,4.851068494787039e-07,8.041478850881595e-07,1.676635562668255e-06,1.4258716258836822e-06,7.46162410778523e-07,1.1126586300067399e-06,7.389402932676409e-07,6.16763033504565e-07,1.1170892756573111e-05,2.0398579761557945e-06,7.185940279506143e-05,3.620313405355636e-05,2.2490188249440407e-06,5.910216649974915e-06,4.123318833729673e-05,6.26069336704087e-05
3.1037387005969254e-12,3.319034811340546e-12,9.286318189953268e-07,8.088256292243312e-07,1.338904719363911e-06,2.0314187283176216e-06,8.847670697714202e-07,8.829753995917842e-07,7.87632561448056e-07,9.099753642663546e-07,6.613363937954078e-06,1.617993815465864e-06,6.669823719963376e-05,2.6410322270845467e-05,2.027440469181699e-06,6.069104445039247e-06,3.113600134470154e-05,5.2644746125260865e-05
